Date;Open;High;Low;Close;Volume
28/01/2022;12154.759766;12166.870117;11958.690430;12104.440430;44822800
31/01/2022;12201.889648;12291.900391;12175.780273;12226.700195;46861100
01/02/2022;12338.540039;12408.799805;12304.830078;12359.799805;57512100
02/02/2022;12337.519531;12414.419922;12324.919922;12360.370117;56340600
03/02/2022;12269.919922;12349.309570;12205.049805;12234.150391;49183800
04/02/2022;12289.889648;12305.790039;12121.620117;12140.250000;41373300
07/02/2022;12193.379883;12214.339844;12110.400391;12193.809570;38826300
08/02/2022;12218.410156;12256.559570;12131.519531;12155.660156;41798400
09/02/2022;12260.349609;12422.950195;12259.839844;12367.820313;46249900
10/02/2022;12377.519531;12391.410156;12279.599609;12313.160156;81135300
11/02/2022;12220.870117;12291.650391;12186.250000;12231.969727;47523000
14/02/2022;12050.209961;12088.219727;11924.549805;12026.370117;56321900
15/02/2022;12016.070313;12210.599609;12016.070313;12181.860352;44583400
16/02/2022;12212.679688;12268.669922;12166.099609;12191.570313;34605200
17/02/2022;12184.839844;12197.860352;12032.730469;12075.269531;41357900
18/02/2022;12100.169922;12157.620117;11981.059570;12010.089844;45659000
21/02/2022;12055.719727;12095.219727;11852.990234;11891.879883;46645300
22/02/2022;11695.179688;11979.459961;11687.559570;11959.389648;53590300
23/02/2022;11988.799805;12125.160156;11941.889648;11941.889648;38248400
24/02/2022;11641.660156;11736.230469;11480.759766;11636.759766;87801500
25/02/2022;11672.019531;11995.959961;11665.290039;11987.309570;72140000
28/02/2022;11857.860352;11989.950195;11842.759766;11986.780273;75288800
01/03/2022;11987.440430;12021.719727;11789.750000;11862.280273;72009200
02/03/2022;11784.860352;11906.750000;11668.959961;11871.589844;76002100
03/03/2022;11838.929688;11878.129883;11658.830078;11675.700195;57692100
04/03/2022;11592.759766;11609.530273;11291.839844;11300.129883;90559500
07/03/2022;11154.330078;11299.929688;10871.240234;11204.669922;97185400
08/03/2022;11116.959961;11370.879883;10958.530273;11057.059570;96813300
09/03/2022;11175.889648;11493.360352;11164.629883;11493.360352;90776000
10/03/2022;11517.179688;11546.320313;11388.730469;11391.099609;63392600
11/03/2022;11444.040039;11674.049805;11381.679688;11495.690430;66683200
14/03/2022;11514.309570;11697.419922;11494.990234;11678.940430;54495700
15/03/2022;11599.480469;11702.599609;11510.490234;11682.219727;52958700
